seed,K,M,mv,isp,gap
1011,4,10000,0.9249,0.948,0.0230999999999999
1012,4,10000,0.9239,0.9429,0.018999999999999906
1013,4,10000,0.9244,0.9455,0.021100000000000008
1014,4,10000,0.9288,0.9482,0.019400000000000084
1015,4,10000,0.9274,0.9438,0.01639999999999997
1016,4,10000,0.9223,0.9465,0.0242
1017,4,10000,0.9221,0.9467,0.024599999999999955
1018,4,10000,0.9255,0.9426,0.017100000000000004
1019,4,10000,0.924,0.9463,0.022299999999999986
1020,4,10000,0.9203,0.9442,0.023900000000000032
1021,4,10000,0.9274,0.9438,0.01639999999999997
1022,4,10000,0.9225,0.9394,0.016900000000000026
1023,4,10000,0.9225,0.9425,0.020000000000000018
1024,4,10000,0.9261,0.9459,0.01979999999999993
1025,4,10000,0.9164,0.9399,0.023499999999999965
1026,4,10000,0.9215,0.9446,0.02310000000000001
1027,4,10000,0.9248,0.9422,0.017400000000000082
1028,4,10000,0.9219,0.9439,0.02199999999999991
1029,4,10000,0.9249,0.9443,0.019399999999999973
1030,4,10000,0.9271,0.947,0.019899999999999918
1031,4,10000,0.9292,0.9461,0.016900000000000026
1032,4,10000,0.9256,0.9449,0.019299999999999984
1033,4,10000,0.9248,0.9435,0.01870000000000005
1034,4,10000,0.9214,0.9435,0.02210000000000001
1035,4,10000,0.9289,0.9469,0.018000000000000016
1036,4,10000,0.9213,0.9446,0.023299999999999987
1037,4,10000,0.9199,0.9436,0.023699999999999943
1038,4,10000,0.9227,0.942,0.019299999999999984
1039,4,10000,0.9271,0.947,0.019899999999999918
1040,4,10000,0.9218,0.9446,0.022800000000000042
1041,4,10000,0.9236,0.944,0.020399999999999974
1042,4,10000,0.9202,0.9403,0.020100000000000007
1043,4,10000,0.9211,0.9435,0.022399999999999975
1044,4,10000,0.9239,0.943,0.019099999999999895
1045,4,10000,0.9247,0.9413,0.01660000000000006
1046,4,10000,0.9201,0.9446,0.024499999999999966
1047,4,10000,0.9257,0.9478,0.02210000000000001
1048,4,10000,0.9232,0.9416,0.018399999999999972
1049,4,10000,0.923,0.9443,0.021299999999999986
1050,4,10000,0.925,0.9414,0.01639999999999997
1051,4,10000,0.9228,0.943,0.020199999999999996
1052,4,10000,0.9241,0.9438,0.01969999999999994
1053,4,10000,0.9248,0.9435,0.01870000000000005
1054,4,10000,0.9263,0.9454,0.019100000000000006
1055,4,10000,0.923,0.9439,0.02089999999999992
1056,4,10000,0.926,0.9452,0.019199999999999995
1057,4,10000,0.9195,0.9396,0.020100000000000007
1058,4,10000,0.9204,0.9418,0.021399999999999975
1059,4,10000,0.9253,0.9458,0.020499999999999963
1060,4,10000,0.9184,0.9403,0.02190000000000003
1061,4,10000,0.9218,0.9422,0.020400000000000085
1062,4,10000,0.9264,0.947,0.02059999999999995
1063,4,10000,0.9236,0.9425,0.018900000000000028
1064,4,10000,0.9236,0.9436,0.020000000000000018
1065,4,10000,0.9254,0.9462,0.02080000000000004
1066,4,10000,0.9251,0.9461,0.02100000000000002
1067,4,10000,0.9309,0.9482,0.017300000000000093
1068,4,10000,0.9264,0.9453,0.018900000000000028
1069,4,10000,0.9203,0.9436,0.023299999999999987
1070,4,10000,0.9269,0.9453,0.018400000000000083
1071,4,10000,0.9194,0.9424,0.02300000000000002
1072,4,10000,0.9238,0.9419,0.018100000000000005
1073,4,10000,0.9264,0.9452,0.01880000000000004
1074,4,10000,0.9194,0.94,0.02059999999999995
1075,4,10000,0.9213,0.9436,0.022299999999999986
1076,4,10000,0.9229,0.9424,0.019499999999999962
1077,4,10000,0.9242,0.9448,0.02059999999999995
1078,4,10000,0.9273,0.9437,0.01639999999999997
1079,4,10000,0.9201,0.9428,0.022699999999999942
1080,4,10000,0.9204,0.9417,0.021299999999999986
1081,4,10000,0.9249,0.944,0.019099999999999895
1082,4,10000,0.9184,0.9394,0.02100000000000002
1083,4,10000,0.9263,0.9444,0.018100000000000005
1084,4,10000,0.9219,0.9444,0.022499999999999964
1085,4,10000,0.9261,0.9483,0.022199999999999998
1086,4,10000,0.9244,0.9457,0.021299999999999986
1087,4,10000,0.9244,0.9408,0.01639999999999997
1088,4,10000,0.9249,0.9471,0.022199999999999998
1000,6,10000,0.9438,0.9582,0.01440000000000008
1001,6,10000,0.9406,0.9567,0.016100000000000003
1002,6,10000,0.9435,0.9576,0.014100000000000001
1003,6,10000,0.9375,0.9503,0.012800000000000034
1004,6,10000,0.942,0.9577,0.015700000000000047
1005,6,10000,0.9446,0.9595,0.014900000000000024
1006,6,10000,0.9414,0.9582,0.016800000000000037
1007,6,10000,0.9377,0.9567,0.019000000000000017
1008,6,10000,0.9412,0.9576,0.01639999999999997
1009,6,10000,0.9379,0.9573,0.019400000000000084
1010,6,10000,0.9397,0.9531,0.013399999999999967
1011,6,10000,0.9404,0.9531,0.012699999999999934
1012,6,10000,0.9416,0.9554,0.013800000000000034
1013,6,10000,0.9447,0.956,0.011299999999999977
1014,6,10000,0.9445,0.9604,0.015900000000000025
